radius,depth,density,Vpv,Vph,Vsv,Vsh,eta,Q-mu,Q-kappa
6291.0,80.0,3.37471,7.95906,8.15002,4.40883,4.56190,0.92201,600,57823
6291.0,80.0,3.37471,7.95906,8.15002,4.40883,4.56190,0.92201,80,57823
6281.0,90.0,3.37362,7.94773,8.14278,4.41113,4.55293,0.92590,80,57823
6271.0,100.0,3.37253,7.93641,8.13553,4.41344,4.54396,0.92979,80,57823
6261.0,110.0,3.37145,7.92508,8.12828,4.41574,4.53498,0.93368,80,57823
6251.0,120.0,3.37036,7.91375,8.12103,4.41805,4.52601,0.93757,80,57823
6241.0,130.0,3.36927,7.90242,8.11379,4.42035,4.51703,0.94146,80,57823
6231.0,140.0,3.36818,7.89109,8.10654,4.42265,4.50806,0.94535,80,57823
6221.0,150.0,3.36710,7.87976,8.09929,4.42496,4.49908,0.94924,80,57823
6211.0,160.0,3.36601,7.86843,8.09204,4.42726,4.49011,0.95313,80,57823
6201.0,170.0,3.36492,7.85710,8.08480,4.42957,4.48113,0.95702,80,57823
6191.0,180.0,3.36384,7.84577,8.07755,4.43187,4.47216,0.96091,80,57823
6181.0,190.0,3.36275,7.83444,8.07030,4.43417,4.46319,0.96479,80,57823
6171.0,200.0,3.36166,7.82311,8.06306,4.43648,4.45421,0.96868,80,57823
6161.0,210.0,3.36058,7.81178,8.05581,4.43878,4.44524,0.97257,80,57823
6151.0,220.0,3.35949,7.80045,8.04856,4.44109,4.43626,0.97646,80,57823
6151.0,220.0,3.43577,8.55895,8.55895,4.64390,4.64390,1.00000,143,57823
6141.0,230.0,3.44175,8.57819,8.57819,4.65090,4.65090,1.00000,143,57823
6131.0,240.0,3.44772,8.59743,8.59743,4.65790,4.65790,1.00000,143,57823
6121.0,250.0,3.45369,8.61666,8.61666,4.66490,4.66490,1.00000,143,57823
6111.0,260.0,3.45966,8.63590,8.63590,4.67190,4.67190,1.00000,143,57823
6101.0,270.0,3.46563,8.65514,8.65514,4.67890,4.67890,1.00000,143,57823
6091.0,280.0,3.47160,8.67438,8.67438,4.68590,4.68590,1.00000,143,57823
6081.0,290.0,3.47758,8.69362,8.69362,4.69290,4.69290,1.00000,143,57823
6071.0,300.0,3.48355,8.71286,8.71286,4.69990,4.69990,1.00000,143,57823
6061.0,310.0,3.48952,8.73210,8.73210,4.70690,4.70690,1.00000,143,57823
6051.0,320.0,3.49549,8.75133,8.75133,4.71390,4.71390,1.00000,143,57823
6041.0,330.0,3.50146,8.77057,8.77057,4.72090,4.72090,1.00000,143,57823
6031.0,340.0,3.50743,8.78981,8.78981,4.72790,4.72790,1.00000,143,57823
6021.0,350.0,3.51341,8.80905,8.80905,4.73490,4.73490,1.00000,143,57823
6011.0,360.0,3.51938,8.82829,8.82829,4.74190,4.74190,1.00000,143,57823
6001.0,370.0,3.52535,8.84753,8.84753,4.74890,4.74890,1.00000,143,57823
5991.0,380.0,3.53132,8.86677,8.86677,4.75590,4.75590,1.00000,143,57823
5981.0,390.0,3.53729,8.88600,8.88600,4.76290,4.76290,1.00000,143,57823
5971.0,400.0,3.72375,9.13392,9.13392,4.93249,4.93249,1.00000,143,57823
5961.0,410.0,3.73635,9.18511,9.18511,4.96166,4.96166,1.00000,143,57823
5951.0,420.0,3.74895,9.23631,9.23631,4.99083,4.99083,1.00000,143,57823
5941.0,430.0,3.76156,9.28750,9.28750,5.02000,5.02000,1.00000,143,57823
5931.0,440.0,3.77416,9.33870,9.33870,5.04918,5.04918,1.00000,143,57823
5921.0,450.0,3.78677,9.38989,9.38989,5.07835,5.07835,1.00000,143,57823
5911.0,460.0,3.79937,9.44109,9.44109,5.10752,5.10752,1.00000,143,57823
5901.0,470.0,3.81197,9.49228,9.49228,5.13669,5.13669,1.00000,143,57823
5891.0,480.0,3.82458,9.54348,9.54348,5.16586,5.16586,1.00000,143,57823
5881.0,490.0,3.83718,9.59468,9.59468,5.19504,5.19504,1.00000,143,57823
5871.0,500.0,3.84978,9.64587,9.64587,5.22421,5.22421,1.00000,143,57823
5861.0,510.0,3.86239,9.69707,9.69707,5.25338,5.25338,1.00000,143,57823
5851.0,520.0,3.87499,9.74826,9.74826,5.28255,5.28255,1.00000,143,57823
5841.0,530.0,3.88759,9.79946,9.79946,5.31173,5.31173,1.00000,143,57823
5831.0,540.0,3.90020,9.85065,9.85065,5.34090,5.34090,1.00000,143,57823
5821.0,550.0,3.91280,9.90185,9.90185,5.37007,5.37007,1.00000,143,57823
5811.0,560.0,3.92541,9.95304,9.95304,5.39924,5.39924,1.00000,143,57823
5801.0,570.0,3.93801,10.00424,10.00424,5.42841,5.42841,1.00000,143,57823
5791.0,580.0,3.95061,10.05543,10.05543,5.45759,5.45759,1.00000,143,57823
5781.0,590.0,3.96322,10.10663,10.10663,5.48676,5.48676,1.00000,143,57823
5771.0,600.0,3.97582,10.15783,10.15783,5.51593,5.51593,1.00000,143,57823
5771.0,600.0,3.97582,10.15776,10.15776,5.51602,5.51602,1.00000,143,57823
5761.0,610.0,3.97815,10.17325,10.17325,5.52376,5.52376,1.00000,143,57823
5751.0,620.0,3.98048,10.18874,10.18874,5.53150,5.53150,1.00000,143,57823
5741.0,630.0,3.98281,10.20422,10.20422,5.53924,5.53924,1.00000,143,57823
5731.0,640.0,3.98514,10.21971,10.21971,5.54699,5.54699,1.00000,143,57823
5721.0,650.0,3.98746,10.23520,10.23520,5.55473,5.55473,1.00000,143,57823
5711.0,660.0,3.98979,10.25069,10.25069,5.56247,5.56247,1.00000,143,57823
5701.0,670.0,4.38074,10.75132,10.75132,5.94513,5.94513,1.00000,312,57823
5685.7,685.3,4.39029,10.79897,10.79897,5.98986,5.98986,1.00000,312,57823
5635.7,735.3,4.42128,10.95459,10.95459,6.13609,6.13609,1.00000,312,57823
